Parameter_Name,Value,Unit,Context_Description
technical_prep_time_A,1,hours,Technical preparation time required per unit of product A
labor_time_A,10,hours,Direct labor time required per unit of product A
materials_A,3,kg,Materials required per unit of product A
technical_prep_time_B,2,hours,Technical preparation time required per unit of product B
labor_time_B,4,hours,Direct labor time required per unit of product B
materials_B,2,kg,Materials required per unit of product B
technical_prep_time_C,1,hours,Technical preparation time required per unit of product C
labor_time_C,5,hours,Direct labor time required per unit of product C
materials_C,1,kg,Materials required per unit of product C
available_technical_prep_time,100,hours,Total available technical preparation time
available_labor_time,700,hours,Total available labor time
available_materials,400,kg,Total available materials
