Parameter_Name,Value,Unit,Context_Description
cow_selling_price,500,USD,Selling price of one cow
sheep_selling_price,200,USD,Selling price of one sheep
chicken_selling_price,8,USD,Selling price of one chicken
cow_feed_cost,100,USD,Feed cost for one cow
sheep_feed_cost,80,USD,Feed cost for one sheep
chicken_feed_cost,5,USD,Feed cost for one chicken
cow_manure_production,10,units per day,Manure produced by one cow per day
sheep_manure_production,5,units per day,Manure produced by one sheep per day
chicken_manure_production,3,units per day,Manure produced by one chicken per day
max_manure_capacity,800,units per day,Maximum manure cleaning capacity of the farm per day
max_chickens,50,animals,Maximum number of chickens that can be raised on the farm
min_cows,10,animals,Minimum number of cows required to meet customer demand
min_sheep,20,animals,Minimum number of sheep required to meet customer demand
max_total_animals,100,animals,Maximum total number of animals that can be raised on the farm
premium_capacity_multiplier,1.5,dimensionless,Multiplier for max_total_animals when expanded mode is selected
premium_manure_multiplier,1.2,dimensionless,Multiplier for max_manure_capacity when expanded mode is selected
expansion_cost,2000,USD per day,Fixed daily cost if the farm operates in expanded mode
premium_feed_multiplier,1.3,dimensionless,Multiplier applied to feed costs of premium animals
base_land_usage_cow,0.5,hectares per cow,Land used per cow
base_land_usage_sheep,0.3,hectares per sheep,Land used per sheep
base_land_usage_chicken,0.05,hectares per chicken,Land used per chicken
base_land_capacity,40,hectares,Total land capacity in regular mode
expansion_land_increase,20,hectares,Additional land capacity available in expanded mode
