Parameter_Name,Value,Unit,Context_Description
cost_supplier_a,120,USD,Cost of ordering each dining table from Supplier A
cost_supplier_b,110,USD,Cost of ordering each dining table from Supplier B
cost_supplier_c,100,USD,Cost of ordering each dining table from Supplier C
order_size_supplier_a,20,tables,Number of tables included in each order from Supplier A
order_size_supplier_b,15,tables,Number of tables included in each order from Supplier B
order_size_supplier_c,15,tables,Number of tables included in each order from Supplier C
min_tables_required,150,tables,Minimum number of tables the restaurant needs to order
max_tables_allowed,600,tables,Maximum number of tables the restaurant can order
min_tables_supplier_b_if_a,30,tables,Minimum number of tables from Supplier B if tables are ordered from Supplier A
supplier_b_requires_c,1,boolean,Requirement to order tables from Supplier C if tables are ordered from Supplier B
max_free_orders_c,5,orders,Maximum number of orders from Supplier C before incurring a penalty
penalty_per_extra_order_c,600,USD,Penalty cost for each order from Supplier C beyond the free limit
supplier_bc_shared_inbound_trigger,1,boolean,Shared inbound desk applies when Supplier B and Supplier C are both used
supplier_bc_shared_inbound_fee,1000,USD,One-time shared inbound fee for using Supplier B and Supplier C together
