Parameter_Name,Value,Unit,Context_Description
produce_to_transport,1000,units,Total amount of fresh produce to be transported from the farm to the market
horse_pollution_per_trip,80,units,Pollution generated by the horse per trip
bicycle_pollution_per_trip,0,units,Pollution generated by the bicycle per trip
handcart_pollution_per_trip,0,units,Pollution generated by the handcart per trip
max_total_pollution,1000,units,Maximum allowable total pollution generated by all trips
min_horse_trips,8,trips,Minimum number of trips that must be made using the horse
horse_capacity_per_trip,55,units,Carrying capacity of the horse per trip
bicycle_capacity_per_trip,30,units,Carrying capacity of the bicycle per trip
handcart_capacity_per_trip,40,units,Carrying capacity of the handcart per trip
min_total_produce,1000,units,Minimum total amount of produce that must be transported
