Parameter_Name,Value,Unit,Context_Description
workshop_a_available_hours,250,hours,Available production time per month in workshop A
workshop_a_hourly_cost,80,yuan,Cost per hour of production in workshop A
workshop_b_available_hours,150,hours,Available production time per month in workshop B
workshop_b_hourly_cost,20,yuan,Cost per hour of production in workshop B
microwave_monthly_sales_estimate,80,units,Estimated monthly sales of microwave ovens
water_heater_monthly_sales_estimate,50,units,Estimated monthly sales of water heaters
inspection_sales_cost_limit,7000,yuan,Maximum inspection and sales costs per month (raised due to certification overhead)
microwave_minimum_sales,80,units,Minimum monthly sales requirement for microwave ovens
workshop_a_overtime_limit,20,hours,Maximum overtime hours allowed in workshop A
water_heater_minimum_sales,50,units,Minimum monthly sales requirement for water heaters
setup_hours_A,15,hours,Workshop A hours consumed per activated product (green-line setup)
tech_pool_hours,320,hours,Total shared certified-technician hours per month
tech_rate_m,0.6,hours_per_unit,Technician hours per microwave
tech_rate_w,1.2,hours_per_unit,Technician hours per water heater
green_bonus_m,25,yuan_per_unit,Regulator premium per certified microwave
green_bonus_w,40,yuan_per_unit,Regulator premium per certified water heater
bigM,500,units,Upper bound for activation linking constraints
