Parameter_Name,Value,Unit,Context_Description
min_raw_material_A,240,pieces,Minimum required raw material A per day
min_raw_material_B,80,kg,Minimum required raw material B per day
min_raw_material_C,120,tons,Minimum required raw material C per day
warehouse_A_truck_capacity_A,4,pieces,Raw material A transported per truck from warehouse A
warehouse_A_truck_capacity_B,2,kg,Raw material B transported per truck from warehouse A
warehouse_A_truck_capacity_C,6,tons,Raw material C transported per truck from warehouse A
warehouse_A_truck_cost,200,yuan,Freight cost per truck from warehouse A
warehouse_B_truck_capacity_A,7,pieces,Raw material A transported per truck from warehouse B
warehouse_B_truck_capacity_B,2,kg,Raw material B transported per truck from warehouse B
warehouse_B_truck_capacity_C,2,tons,Raw material C transported per truck from warehouse B
warehouse_B_truck_cost,160,yuan,Freight cost per truck from warehouse B
warehouse_A_fixed_cost,5000,yuan,Fixed administrative cost if any truck is dispatched from warehouse A
warehouse_B_fixed_cost,4000,yuan,Fixed administrative cost if any truck is dispatched from warehouse B
warehouse_B_overflow_threshold_trucks,55,trucks,Truck count from warehouse B that can be handled under the normal dispatch desk
warehouse_B_overflow_coordination_cost,3000,yuan,Extra coordination charge if warehouse B dispatches more than its overflow threshold
dual_warehouse_reconciliation_trigger,1,boolean,Daily reconciliation applies when trucks are dispatched from both warehouses
dual_warehouse_reconciliation_fee,700,yuan,One-time dispatch reconciliation cost when both warehouses are used
